player_id,player,team,club_id,position,position_group,market_value_m,age,minutes_per_app,goals_per90,assists_per90,cards_per90,days_since,selected_proxy
203853,Oleksandr Zinchenko,Ajax,610,Left-Back,def,8.0,29.713894592744694,55.4,0.0,0.0,0.0,200.0,1
355816,Ko Itakura,Ajax,610,Centre-Back,def,8.0,29.596167008898014,61.9,0.0,0.14539579967689822,0.14539579967689822,68.0,1
1105532,Jorthy Mokio,Ajax,610,Defensive Midfield,mid,8.0,18.507871321013006,80.2,0.0,0.11221945137157108,0.11221945137157108,108.0,1
1162160,Maher Carrizo,Ajax,610,Right Winger,att,8.0,20.53388090349076,8.0,0.0,0.0,0.0,108.0,1
283196,Kasper Dolberg,Ajax,610,Centre-Forward,att,7.0,28.906228610540726,38.5,0.0,0.4675324675324675,0.0,108.0,1
1111063,Sean Steur,Ajax,610,Central Midfield,mid,7.0,18.642026009582477,57.2,0.15734265734265734,0.15734265734265734,0.3146853146853147,108.0,1
486604,Vitezslav Jaros,Ajax,610,Goalkeeper,gk,5.0,25.111567419575632,90.0,0.0,0.0,0.0,200.0,1
331560,Takehiro Tomiyasu,Ajax,610,Centre-Back,def,5.0,27.824777549623544,39.1,0.23017902813299232,0.0,0.0,144.0,0
468309,Lucas Rosa,Ajax,610,Right-Back,def,5.0,26.414784394250514,90.0,0.0,0.0,0.2,108.0,0
559324,Youri Regeer,Ajax,610,Defensive Midfield,mid,5.0,23.041752224503764,69.9,0.0,0.0,0.2575107296137339,108.0,0
598491,Rayane Bounida,Ajax,610,Attacking Midfield,mid,5.0,20.501026694045173,36.4,0.24725274725274726,0.24725274725274726,0.4945054945054945,108.0,0
701055,Anton Gaaei,Ajax,610,Right-Back,def,5.0,23.786447638603697,83.0,0.10843373493975904,0.10843373493975904,0.10843373493975904,108.0,0
987366,Aaron Bouwman,Ajax,610,Centre-Back,def,3.5,19.014373716632445,65.2,0.0,0.0,0.27607361963190186,144.0,0
339328,Owen Wijndal,Ajax,610,Left-Back,def,3.0,26.76249144421629,69.0,0.13043478260869565,0.0,0.13043478260869565,164.0,0
374326,Oliver Edvardsen,Ajax,610,Left Winger,att,3.0,27.457905544147845,15.4,0.5844155844155844,0.5844155844155844,0.5844155844155844,115.0,0
559333,Kian Fitz-Jim,Ajax,610,Central Midfield,mid,3.0,23.16221765913758,22.2,0.40540540540540543,0.0,0.0,164.0,0
129554,Steven Berghuis,Ajax,610,Right Winger,att,2.0,34.704996577686515,67.4,0.40059347181008903,0.0,0.40059347181008903,108.0,0
182932,Davy Klaassen,Ajax,610,Central Midfield,mid,2.0,33.52772073921971,70.0,0.2571428571428571,0.0,0.0,108.0,0
228645,Wout Weghorst,Ajax,610,Centre-Forward,att,2.0,34.06981519507187,63.2,0.2848101265822785,0.4272151898734178,0.2848101265822785,108.0,0
396077,Maarten Paes,Ajax,610,Goalkeeper,gk,2.0,28.303901437371664,84.4,0.0,0.0,0.0,123.0,0
923667,Joeri Heerkens,Ajax,610,Goalkeeper,gk,1.0,20.320328542094455,0.0,0.0,0.0,0.0,,0
981693,Don-Angelo Konadu,Ajax,610,Centre-Forward,att,0.8,20.334017796030118,22.8,0.39473684210526316,0.39473684210526316,0.0,123.0,0
1015401,Paul Reverson,Ajax,610,Goalkeeper,gk,0.35,21.201916495550993,0.0,0.0,0.0,0.0,,0
536520,Ruben Providence,Almere City,723,Left Winger,att,0.3,25.155373032169745,33.8,0.0,0.0,0.0,70.0,1
177866,Mica Pinto,Dordrecht,1455,Left-Back,def,0.35,33.24572210814511,82.2,0.0,0.10948905109489052,0.10948905109489052,836.0,1
488297,Martin Vetkal,Dordrecht,1455,Defensive Midfield,mid,0.275,22.529774127310063,0.0,0.0,0.0,0.0,,1
536477,Arthur Zagré,Excelsior,798,Left-Back,def,2.0,24.91170431211499,87.5,0.2057142857142857,0.2057142857142857,0.10285714285714286,108.0,1
806245,Irakli Yegoian,Excelsior,798,Attacking Midfield,mid,1.8,22.455852156057496,81.5,0.11042944785276074,0.0,0.11042944785276074,108.0,1
578544,Noah Naujoks,Excelsior,798,Attacking Midfield,mid,1.5,24.33675564681725,85.7,0.31505250875145857,0.10501750291715285,0.10501750291715285,108.0,1
605395,Casper Widell,Excelsior,798,Centre-Back,def,1.5,23.329226557152634,90.0,0.1,0.1,0.0,108.0,1
