match_key,date,home_team,away_team,tm_match_available,tm_home_prior_lineup_available,tm_home_prior_starter_count,tm_home_prior_lineup_value_sum_m,tm_home_prior_lineup_value_avg_m,tm_home_prior_lineup_value_top3_m,tm_home_prior_lineup_value_coverage,tm_home_prior_lineup_age,tm_home_prior_lineup_gk_share,tm_home_prior_lineup_def_share,tm_home_prior_lineup_mid_share,tm_home_prior_lineup_att_share,tm_home_prior_lineup_stability,tm_home_prior_players_minutes_per_app,tm_home_prior_players_goals_per90,tm_home_prior_players_assists_per90,tm_home_prior_players_cards_per90,tm_home_prior_players_days_since,tm_home_manager_available,tm_home_manager_changed,tm_home_manager_matches,tm_home_manager_ppg,tm_home_manager_gd_per_match,tm_away_prior_lineup_available,tm_away_prior_starter_count,tm_away_prior_lineup_value_sum_m,tm_away_prior_lineup_value_avg_m,tm_away_prior_lineup_value_top3_m,tm_away_prior_lineup_value_coverage,tm_away_prior_lineup_age,tm_away_prior_lineup_gk_share,tm_away_prior_lineup_def_share,tm_away_prior_lineup_mid_share,tm_away_prior_lineup_att_share,tm_away_prior_lineup_stability,tm_away_prior_players_minutes_per_app,tm_away_prior_players_goals_per90,tm_away_prior_players_assists_per90,tm_away_prior_players_cards_per90,tm_away_prior_players_days_since,tm_away_manager_available,tm_away_manager_changed,tm_away_manager_matches,tm_away_manager_ppg,tm_away_manager_gd_per_match,tm_diff_manager_available,tm_diff_manager_changed,tm_diff_manager_gd_per_match,tm_diff_manager_matches,tm_diff_manager_ppg,tm_diff_prior_lineup_age,tm_diff_prior_lineup_att_share,tm_diff_prior_lineup_available,tm_diff_prior_lineup_def_share,tm_diff_prior_lineup_gk_share,tm_diff_prior_lineup_mid_share,tm_diff_prior_lineup_stability,tm_diff_prior_lineup_value_avg_m,tm_diff_prior_lineup_value_coverage,tm_diff_prior_lineup_value_sum_m,tm_diff_prior_lineup_value_top3_m,tm_diff_prior_players_assists_per90,tm_diff_prior_players_cards_per90,tm_diff_prior_players_days_since,tm_diff_prior_players_goals_per90,tm_diff_prior_players_minutes_per_app,tm_diff_prior_starter_count
2012-08-26|heracles|feyenoord,2012-08-26,Heracles,Feyenoord,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,0.5,0.0,0.0,-1.5,0.0,-1.5,,,0.0,,,,,,,,,,,,,,0.0
2012-08-26|az|heerenveen,2012-08-26,AZ,Heerenveen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-1.0,0.0,0.0,2.0,0.0,1.5,,,0.0,,,,,,,,,,,,,,0.0
2012-08-26|willem ii|vitesse,2012-08-26,Willem II,Vitesse,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,0.5,0.0,0.0,-0.5,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-26|nec|fc twente,2012-08-26,NEC,FC Twente,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.5,-1.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,3.0,2.0,0.0,0.0,-3.5,0.0,-1.5,,,0.0,,,,,,,,,,,,,,0.0
2012-08-26|fc groningen|psv,2012-08-26,FC Groningen,PSV,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-1.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.5,2.0,0.0,0.0,-3.5,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-31|ado den haag|fc groningen,2012-08-31,ADO Den Haag,FC Groningen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.6666666666666667,0.6666666666666666,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.3333333333333333,-1.6666666666666667,0.0,0.0,2.3333333333333335,0.0,1.3333333333333335,,,0.0,,,,,,,,,,,,,,0.0
2012-09-01|roda jc|willem ii,2012-09-01,Roda JC,Willem II,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.0,-3.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,-2.3333333333333335,-1.0,-0.6666666666666666,,,0.0,,,,,,,,,,,,,,0.0
2012-09-01|pec zwolle|nec,2012-09-01,PEC Zwolle,NEC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.6666666666666666,-0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.0,-1.6666666666666667,0.0,0.0,1.3333333333333335,0.0,-0.33333333333333337,,,0.0,,,,,,,,,,,,,,0.0
2012-09-01|waalwijk|heracles,2012-09-01,Waalwijk,Heracles,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,2.3333333333333335,0.6666666666666666,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.3333333333333333,-1.0,0.0,0.0,1.6666666666666665,0.0,2.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-01|nac breda|fc utrecht,2012-09-01,NAC Breda,FC Utrecht,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.3333333333333333,-2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.3333333333333333,0.3333333333333333,0.0,0.0,-2.3333333333333335,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-02|vitesse|feyenoord,2012-09-02,Vitesse,Feyenoord,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,2.3333333333333335,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,2.3333333333333335,0.6666666666666666,0.0,0.0,0.33333333333333337,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-02|fc twente|vvv venlo,2012-09-02,FC Twente,VVV Venlo,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.3333333333333333,-1.3333333333333333,0.0,0.0,3.333333333333333,0.0,2.6666666666666665,,,0.0,,,,,,,,,,,,,,0.0
2012-09-02|psv|az,2012-09-02,PSV,AZ,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.6666666666666667,0.6666666666666666,0.0,0.0,1.3333333333333335,0.0,0.33333333333333326,,,0.0,,,,,,,,,,,,,,0.0
2012-09-02|heerenveen|ajax,2012-09-02,Heerenveen,Ajax,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,2.3333333333333335,3.3333333333333335,0.0,0.0,-4.0,0.0,-1.666666666666667,,,0.0,,,,,,,,,,,,,,0.0
2012-09-15|ajax|waalwijk,2012-09-15,Ajax,Waalwijk,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,2.0,2.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,2.0,0.5,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-15|willem ii|fc twente,2012-09-15,Willem II,FC Twente,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.5,-1.25,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,3.0,1.75,0.0,0.0,-3.0,0.0,-2.5,,,0.0,,,,,,,,,,,,,,0.0
2012-09-15|heerenveen|ado den haag,2012-09-15,Heerenveen,ADO Den Haag,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.75,-0.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.25,0.25,0.0,0.0,-0.75,0.0,-0.5,,,0.0,,,,,,,,,,,,,,0.0
2012-09-15|vvv venlo|nec,2012-09-15,VVV Venlo,NEC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.25,-1.25,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.5,-0.25,0.0,0.0,-1.0,0.0,-1.25,,,0.0,,,,,,,,,,,,,,0.0
2012-09-15|feyenoord|pec zwolle,2012-09-15,Feyenoord,PEC Zwolle,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.75,0.25,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.5,-1.25,0.0,0.0,1.5,0.0,1.25,,,0.0,,,,,,,,,,,,,,0.0
2012-09-16|heracles|nac breda,2012-09-16,Heracles,NAC Breda,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.5,-0.75,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.5,-1.5,0.0,0.0,0.75,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-16|az|roda jc,2012-09-16,AZ,Roda JC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.25,-0.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.0,-1.0,0.0,0.0,0.5,1.0,0.25,,,0.0,,,,,,,,,,,,,,0.0
2012-09-16|fc utrecht|psv,2012-09-16,FC Utrecht,PSV,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.25,0.25,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,2.25,2.5,0.0,0.0,-2.25,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-16|fc groningen|vitesse,2012-09-16,FC Groningen,Vitesse,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,2.5,1.0,0.0,0.0,-2.0,0.0,-1.5,,,0.0,,,,,,,,,,,,,,0.0
2012-09-21|roda jc|fc utrecht,2012-09-21,Roda JC,FC Utrecht,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.75,-1.75,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.6,0.4,0.0,0.0,-2.15,-1.0,-0.8500000000000001,,,0.0,,,,,,,,,,,,,,0.0
2012-09-22|pec zwolle|fc groningen,2012-09-22,PEC Zwolle,FC Groningen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.4,-1.4,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.8,-1.4,0.0,0.0,0.0,0.0,-0.4,,,0.0,,,,,,,,,,,,,,0.0
2012-09-22|waalwijk|vvv venlo,2012-09-22,Waalwijk,VVV Venlo,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.4,-1.0,0.0,0.0,1.0,0.0,1.2000000000000002,,,0.0,,,,,,,,,,,,,,0.0
2012-09-22|nec|willem ii,2012-09-22,NEC,Willem II,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.4,-0.2,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.4,-1.8,0.0,0.0,1.6,0.0,0.9999999999999999,,,0.0,,,,,,,,,,,,,,0.0
2012-09-22|vitesse|heracles,2012-09-22,Vitesse,Heracles,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,2.6,1.4,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.0,-0.4,0.0,0.0,1.7999999999999998,0.0,1.6,,,0.0,,,,,,,,,,,,,,0.0
2012-09-23|ado den haag|ajax,2012-09-23,ADO Den Haag,Ajax,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.6,0.6,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,2.2,2.4,0.0,0.0,-1.7999999999999998,0.0,-0.6000000000000001,,,0.0,,,,,,,,,,,,,,0.0
2012-09-23|fc twente|heerenveen,2012-09-23,FC Twente,Heerenveen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,3.0,2.2,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.6,-0.8,0.0,0.0,3.0,0.0,2.4,,,0.0,,,,,,,,,,,,,,0.0
2012-09-23|nac breda|az,2012-09-23,NAC Breda,AZ,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.4,-1.4,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.6,0.4,0.0,0.0,-1.7999999999999998,0.0,-1.2000000000000002,,,0.0,,,,,,,,,,,,,,0.0
2012-09-23|psv|feyenoord,2012-09-23,PSV,Feyenoord,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.8,1.8,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,2.0,0.6,0.0,0.0,1.2000000000000002,0.0,-0.19999999999999996,,,0.0,,,,,,,,,,,,,,0.0
2012-09-29|heerenveen|nac breda,2012-09-29,Heerenveen,NAC Breda,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,0.5,-0.8333333333333334,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,0.8333333333333334,-1.0,0.0,0.0,0.16666666666666663,0.0,-0.33333333333333337,,,0.0,,,,,,,,,,,,,,0.0
2012-09-29|feyenoord|nec,2012-09-29,Feyenoord,NEC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.6666666666666667,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.3333333333333333,-0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.3333333333333335,,,0.0,,,,,,,,,,,,,,0.0
2012-09-29|fc utrecht|vitesse,2012-09-29,FC Utrecht,Vitesse,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.8333333333333333,0.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,2.3333333333333335,1.1666666666666667,0.0,0.0,-0.6666666666666667,0.0,-0.5000000000000002,,,0.0,,,,,,,,,,,,,,0.0
2012-09-29|heracles|ado den haag,2012-09-29,Heracles,ADO Den Haag,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.0,-0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.5,0.5,0.0,0.0,-0.8333333333333333,0.0,-0.5,,,0.0,,,,,,,,,,,,,,0.0
2012-09-29|ajax|fc twente,2012-09-29,Ajax,FC Twente,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-09-30|az|waalwijk,2012-09-30,AZ,Waalwijk,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.3333333333333333,0.16666666666666666,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.5,0.0,0.0,0.0,0.16666666666666666,0.0,-0.16666666666666674,,,0.0,,,,,,,,,,,,,,0.0
2012-09-30|willem ii|pec zwolle,2012-09-30,Willem II,PEC Zwolle,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,0.5,-1.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,0.3333333333333333,-1.3333333333333333,0.0,0.0,-0.16666666666666674,0.0,0.16666666666666669,,,0.0,,,,,,,,,,,,,,0.0
2012-09-30|fc groningen|roda jc,2012-09-30,FC Groningen,Roda JC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,6.0,1.1666666666666667,-1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.6,-1.6,0.0,0.0,0.6000000000000001,1.0,0.5666666666666668,,,0.0,,,,,,,,,,,,,,0.0
